ID	parentID	status	scientificName	authorship	rank	link
6617	x4G	accepted	Manis temminckii	Smuts, 1832	species	https://www.speciesplus.net/species#/taxon_concepts/6617/legal
6620	xYY	accepted	Saimiri oerstedii	(Reinhardt, 1872)	species	https://www.speciesplus.net/species#/taxon_concepts/6620/legal
6623	xMR	accepted	Mandrillus leucophaeus	(F. Cuvier, 1807)	species	https://www.speciesplus.net/species#/taxon_concepts/6623/legal
66401	xS6	accepted	Lygodactylus williamsi	Loveridge, 1952	species	https://www.speciesplus.net/species#/taxon_concepts/66401/legal
6656	1585	accepted	Diceros bicornis	(Linnaeus, 1758)	species	https://www.speciesplus.net/species#/taxon_concepts/6656/legal
6659	923	accepted	Eubalaena australis	(Desmoulins, 1822)	species	https://www.speciesplus.net/species#/taxon_concepts/6659/legal
6692	1562	accepted	Pan troglodytes	(Blumenbach, 1775)	species	https://www.speciesplus.net/species#/taxon_concepts/6692/legal
6693	x347	accepted	Alligator sinensis	Fauvel, 1879	species	https://www.speciesplus.net/species#/taxon_concepts/6693/legal
6694	1005	accepted	Nomascus gabriellae	(Thomas, 1909)	species	https://www.speciesplus.net/species#/taxon_concepts/6694/legal
6701	1371	accepted	Propithecus diadema	Bennett, 1832	species	https://www.speciesplus.net/species#/taxon_concepts/6701/legal
6708	x36C	accepted	Terrapene coahuila	K. P. Schmidt & Owens, 1944	species	https://www.speciesplus.net/species#/taxon_concepts/6708/legal
6709	814	accepted	Bettongia penicillata	Gray, 1837	species	https://www.speciesplus.net/species#/taxon_concepts/6709/legal
6713	xDD	accepted	Amazona rhodocorytha	(Salvadori, 1890)	species	https://www.speciesplus.net/species#/taxon_concepts/6713/legal
6723	x4G	accepted	Manis tetradactyla	Linnaeus, 1766	species	https://www.speciesplus.net/species#/taxon_concepts/6723/legal
6741	xLV	accepted	Aquila heliaca	Savigny, 1809	species	https://www.speciesplus.net/species#/taxon_concepts/6741/legal
6743	2522	accepted	Leontopithecus rosalia	(Linnaeus, 1766)	species	https://www.speciesplus.net/species#/taxon_concepts/6743/legal
